,A�o,Equipo,Nombre ,Nacionalidad,Edad,Posicion 
0,2010,Inter Milan,Julio César,Brasil,30,Portero
1,2010,Inter Milan,Maicon ,Brasil,28,Lateral derecho
2,2010,Inter Milan,Lucio,Brasil,32,Defensa central 
3,2010,Inter Milan,Walter Samuel,Argentina,32,Defensa central 
4,2010,Inter Milan,Javier Zanetti,Argentina ,36,Lateral derecho
5,2010,Inter Milan,Cristian Chivu,Rumania,29,Lateral Izquierdo
6,2010,Inter Milan,Esteban Cambiasso,Argentina,29,Mediocampista defensivo
7,2010,Inter Milan,Wesley Sneijder,Paises Bajos,26,Mediocampista ofensivo
8,2010,Inter Milan,Goran Pandev,Macedionia del norte ,26,Delantero
9,2010,Inter Milan,Diego Milito ,Argentina,30,Delantero centro
10,2010,Inter Milan,Samuel Eto'o,Camerún ,29,Delantero
11,2010,Inter Milan,Francesco Toldo ,Italia,38,Protero
12,2010,Inter Milan,Ivan Córdoba,Colombia,33,Defensa central 
13,2010,Inter Milan,Marco Materazzi,Italia,36,Defensa central 
14,2010,Inter Milan,Dejan Stankovi?,Serbia,31,Mediocampista
15,2010,Inter Milan,Sully Muntari,Ghana,25,Mediocampista
16,2010,Inter Milan,McDonald Mariga,Italia,27,Mediocampista ofensivo
17,2010,Inter Milan,Mario Balotelli,Keniata,23,Mediocentro
18,2010,Bayern Munich,Hans-Jörg Butt,Alemania,35,Portero
19,2010,Bayern Munich,Philipp Lahm,Alemania,26,Lateral derecho
20,2010,Bayern Munich,Daniel Van Buyten,Bélgica,32,Defensa central 
21,2010,Bayern Munich,Martín Demichelis,Argentina,29,Defensa central 
22,2010,Bayern Munich,Holger Badstuber,Alemania,21,Lateral izquierdo
23,2010,Bayern Munich,Mark van Bommel,Paises Bajos,33,Mediocampista defensivo
24,2010,Bayern Munich,Bastian Schweinsteiger,Alemania,25,Mediocampista central
25,2010,Bayern Munich,Arjen Robben,Paises Bajos,26,Extremo derecho
26,2010,Bayern Munich,Thomas Müller,Alemania,20,Mediocampista ofensivo
27,2010,Bayern Munich,Ivica Oli?,Croacia,30,Delantero
28,2010,Bayern Munich,Hamít Alt?ntop,Turquía,27,Mediocampista
29,2010,Bayern Munich,Michael Rensing,Alemania,26,Portero
30,2010,Bayern Munich,Diego Contento,Alemania,20,Lateral Izquierdo
31,2010,Bayern Munich,Anatoliy Tymoshchuk,Ucrania,31,Mediocampista defensivo
32,2010,Bayern Munich,Mario Gómez,Alemania,24,Delantero
33,2010,Bayern Munich,Miroslav Klose,Alemania,31,Delantero centro
34,2010,Bayern Munich,Danijel Pranji?,Croacia,29,Centrocampista
35,2010,Bayern Munich,Andreas Görlitz,Alemania,28,Defensa
36,2011,Barcelona,Víctor Valdés,España,29,Portero
37,2011,Barcelona,Dani Alves,Brasil,28,Lateral derecho
38,2011,Barcelona,Gerard Piqué,España,24,Defensa central 
39,2011,Barcelona,José Manuel Pinto ,España,35,Portero
40,2011,Barcelona,Carles Puyol,España,33,Defensa central 
41,2011,Barcelona,Gabriel Milito,Argentina,30,Defensa central 
42,2011,Barcelona,Marc Munisa,España,19,Defensa central 
43,2011,Barcelona,Andreu Fontás,España,21,Defensa central 
44,2011,Barcelona,Marc Bartra,España,20,Defensa central 
45,2011,Barcelona,Sergi Gomez,España,19,Defensa central 
46,2011,Barcelona,Eric Abidal,Francia,31,Lateral izquierdo
47,2011,Barcelona,Adriano ,Brasil,26,Lateral izquierdo
48,2011,Barcelona,Maxwell,Brasil,29,Lateral izquierdo
