,Año,Equipo,Nombre,Nacionalidad,Edad,Posicion,season,winner-country,winner,score,runner-up,runner-up-country,stadium,final-city,final-country,attendance,winning-way,year,winner_score,runner_up_score
0,2010,Bayern Munich,Hans-JÃ¶rg Butt,Alemania,35,Portero,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
1,2010,Bayern Munich,Philipp Lahm,Alemania,26,Lateral derecho,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
2,2010,Bayern Munich,Daniel Van Buyten,BÃ©lgica,32,Defensa central ,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
3,2010,Bayern Munich,MartÃ­n Demichelis,Argentina,29,Defensa central ,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
4,2010,Bayern Munich,Holger Badstuber,Alemania,21,Lateral izquierdo,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
5,2010,Bayern Munich,Mark van Bommel,Paises Bajos,33,Mediocampista defensivo,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
6,2010,Bayern Munich,Bastian Schweinsteiger,Alemania,25,Mediocampista central,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
7,2010,Bayern Munich,Arjen Robben,Paises Bajos,26,Extremo derecho,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
8,2010,Bayern Munich,Thomas MÃ¼ller,Alemania,20,Mediocampista ofensivo,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
9,2010,Bayern Munich,Ivica Oli?,Croacia,30,Delantero,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
10,2010,Bayern Munich,HamÃ­t Alt?ntop,TurquÃ­a,27,Mediocampista,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
11,2010,Bayern Munich,Michael Rensing,Alemania,26,Portero,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
12,2010,Bayern Munich,Diego Contento,Alemania,20,Lateral Izquierdo,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
13,2010,Bayern Munich,Anatoliy Tymoshchuk,Ucrania,31,Mediocampista defensivo,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
14,2010,Bayern Munich,Mario GÃ³mez,Alemania,24,Delantero,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
15,2010,Bayern Munich,Miroslav Klose,Alemania,31,Delantero centro,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
16,2010,Bayern Munich,Danijel Pranji?,Croacia,29,Centrocampista,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
17,2010,Bayern Munich,Andreas GÃ¶rlitz,Alemania,28,Defensa,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
18,2010,Inter Milan,Julio CÃ©sar,Brasil,30,Portero,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
19,2010,Inter Milan,Maicon ,Brasil,28,Lateral derecho,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
20,2010,Inter Milan,Lucio,Brasil,32,Defensa central ,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
21,2010,Inter Milan,Walter Samuel,Argentina,32,Defensa central ,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
22,2010,Inter Milan,Javier Zanetti,Argentina ,36,Lateral derecho,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
23,2010,Inter Milan,Cristian Chivu,Rumania,29,Lateral Izquierdo,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
24,2010,Inter Milan,Esteban Cambiasso,Argentina,29,Mediocampista defensivo,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
25,2010,Inter Milan,Wesley Sneijder,Paises Bajos,26,Mediocampista ofensivo,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
26,2010,Inter Milan,Goran Pandev,Macedionia del norte ,26,Delantero,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
27,2010,Inter Milan,Diego Milito ,Argentina,30,Delantero centro,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
28,2010,Inter Milan,Samuel Eto'o,CamerÃºn ,29,Delantero,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
29,2010,Inter Milan,Francesco Toldo ,Italia,38,Protero,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
30,2010,Inter Milan,Ivan CÃ³rdoba,Colombia,33,Defensa central ,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
31,2010,Inter Milan,Marco Materazzi,Italia,36,Defensa central ,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
32,2010,Inter Milan,Dejan Stankovi?,Serbia,31,Mediocampista,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
33,2010,Inter Milan,Sully Muntari,Ghana,25,Mediocampista,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
34,2010,Inter Milan,McDonald Mariga,Italia,27,Mediocampista ofensivo,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
35,2010,Inter Milan,Mario Balotelli,Keniata,23,Mediocentro,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010,2,0
36,2011,Barcelona,VÃ­ctor ValdÃ©s,EspaÃ±a,29,Portero,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
37,2011,Barcelona,Dani Alves,Brasil,28,Lateral derecho,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
38,2011,Barcelona,Gerard PiquÃ©,EspaÃ±a,24,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
39,2011,Barcelona,JosÃ© Manuel Pinto ,EspaÃ±a,35,Portero,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
40,2011,Barcelona,Carles Puyol,EspaÃ±a,33,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
41,2011,Barcelona,Gabriel Milito,Argentina,30,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
42,2011,Barcelona,Marc Munisa,EspaÃ±a,19,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
